start_s,start_x,start_y,type_color,type_shape_h,emphasis,engagement_alpha
486,137.3657434,250,RED,1.2,50,60
1243,351.3284341,250,RED,1.2,50,40
2320,655.7377049,250,RED,1.2,50,40
489,138.21368,250,BLUE,1,50,50
695,196.4386659,250,BLACK,0.9,30,40
697,197.003957,250,BLACK,1,50,40
1563,441.7750141,250,BLACK,0.9,50,40
1608,454.4940644,250,BLACK,0.9,50,40
1640,463.5387224,250,BLACK,0.9,50,40
1757,496.6082533,250,BLACK,1,50,40
1769,500,250,BLACK,0.9,50,40
1969,556.5291125,250,BLACK,1.2,50,40
2065,583.6630865,250,BLACK,0.9,50,40
2073,585.924251,250,BLACK,1.2,50,40
2157,609.6664782,250,BLACK,0.9,100,130
2177,615.3193895,250,BLACK,0.9,80,100
2294,648.3889203,250,BLACK,1.2,50,40
2304,651.2153759,250,BLACK,0.9,50,40
2316,654.6071227,250,BLACK,0.9,50,40
2330,658.5641605,250,BLACK,0.9,50,40
2392,676.0881854,250,BLACK,0.9,60,40
2355,665.6302996,250,BLACK,0.9,50,40
2444,690.7857547,250,BLACK,1.1,50,40
2462,695.8733748,250,BLACK,0.9,50,40
2483,701.8089316,250,BLACK,0.9,50,40
2621,740.8140192,250,BLACK,0.9,50,40
2624,741.6619559,250,BLACK,0.9,50,40
2630,743.3578293,250,BLACK,0.9,50,100
2640,746.1842849,250,BLACK,1.1,70,40
2643,747.0322216,250,BLACK,1.1,30,30
2653,749.8586772,250,BLACK,1.2,60,100
